text	question	true_1	true_2	true_3	true_4	true_5	false_1	false_2	false_3	false_4	false_5
Начались осенние ливни и бури, по ночам тополь скрипел, стонал, бился ветвями о стену, словно просил защиты от непогоды. Постепенно облетали листья с его ветвей, сначала с верхних, потом с нижних. Листья струились ручьями, устилая балкон, и некоторые прилипали к стеклам и с ужасом глядели в комнату, чего-то ожидая. И вот уже на тополе не осталось ни одного листочка, он стоял голый, чёрный, словно обгорелый, и на фоне синего неба видна была каждая чёрная веточка, каждая жилочка, было торжественно тихо и печально в природе, негреющее солнце светило по-летнему. И, как всегда, вспоминалось детство и думалось: кто ты? В чём смысл жизни? Потом ещё раз была весна, и всё было сначала, и жизнь казалась бесконечной. Но однажды утром я услышал под окном звук, будто тополь мой визжал. Я бросился к окну. Внизу стояли скреперы и дорожные катки, которые пробивали новую улицу, и рабочий электрической пилой валил стоявший посреди дороги тополь. И вот сверху я увидел, как дрожь прошла по всему его зелёному телу, он зашатался, мгновение подумал и рухнул на новую улицу, перекрыв её во всю ширину шумящей зелёной обвальной листвой. И открылась мне краснокирпичная, скучная, голая стена дома на той стороне улицы, и с тех пор я вижу только её и кусочек неба. Часто вспоминается мне мой тополь. И всё кажется, что он не исчез с земли, а где-то растёт в лесу, на поляне, шумит всеми листьями. (По Б. Ямпольскому)	Какие вопросы приходят в голову автора по ходу повествования?	Вспоминалось детство и думалось: кто ты? В чём смысл жизни?.	Кто ты? В чём смысл жизни?.	Кем ты являешься? Какова цель существования?	Мои думы отвлекались на детство, провоцируя задавать себе вопросы: кто я в данный момент и в чем конечная цель существования?	Что ты представляешь из себя? Какова истинная ценность жизни?	Кто здесь? В чем смысл песни.	Кто я? В чем смысл смерти?.	Кем я являюсь? Что представляет из себя смысл ухода из жизни?	Кто присутствует? Что имеется в виду под этой песней?	Кто находится здесь? Какова суть этой песни?
"""В далекие времена жили по соседству петух и павлин. Петух был гораздо красивее павлина. Его золотисто-жёлтые перья сверкали в лучах солнца, все переливались. Все птицы завидовали наряду петуха. Садились на верхушку дерева и сетовали, что у них не такой красивый наряд. Петух же был очень горд нарядом и дружил только с павлином, больше ни с кем не дружил. Петух похаживал туда-сюда, важно поклевывал зёрнышки. Однажды павлин собрался в далекие страны погостить. Стал он жалеть, что его наряд слишком беден для гостей. ""Кем я буду в таком наряде в гостях? Может, мне попросить наряд у петуха? Даст или нет?""- сомневался он. Подумав, отправился с просьбой к петуху: ""Дай мне свой наряд до завтра"". Петух, поразмыслив, сказал: ""Что же мне делать, если ты завтра к рассвету не явишься?"" Павлин отвечает ему: ""Если я не приду на рассвете, то ты меня позови, на твой зов я приду обязательно. Если не приду утром, то кричи в полдень, если в полдень не приду, то кричи вечером. К вечеру уж точно я прибуду""."""	На что сетовали все птицы, садясь на верхушку дерева?	Они завидовали красивому наряду петуха.	Сетовали от зависти, что у них не такой красивый наряд, как у петуха.	Им позавидовали из-за эффектного облачения петуха.	Очарование наряда петуха вызвало в них чувство зависти.	Они были огорчены и завидовали, так как их наряды не соперничали по красоте с нарядом петуха.	Они завидовали, что петух дружит только с павлином.	Сетовали оттого, что наряд павлина гораздо красивее, чем у них.	Выражали недовольство по поводу того, что павлин выглядит значительно великолепнее их.	Завистливые взгляды были направлены на то, что дружба петуха ограничивалась общением с павлином.	Были недовольны из-за того, что перья павлина имеют гораздо более привлекательный вид, чем их.
"""В далекие времена жили по соседству петух и павлин. Петух был гораздо красивее павлина. Его золотисто-жёлтые перья сверкали в лучах солнца, все переливались. Все птицы завидовали наряду петуха. Садились на верхушку дерева и сетовали, что у них не такой красивый наряд. Петух же был очень горд нарядом и дружил только с павлином, больше ни с кем не дружил. Петух похаживал туда-сюда, важно поклевывал зёрнышки. Однажды павлин собрался в далекие страны погостить. Стал он жалеть, что его наряд слишком беден для гостей. ""Кем я буду в таком наряде в гостях? Может, мне попросить наряд у петуха? Даст или нет?""- сомневался он. Подумав, отправился с просьбой к петуху: ""Дай мне свой наряд до завтра"". Петух, поразмыслив, сказал: ""Что же мне делать, если ты завтра к рассвету не явишься?"" Павлин отвечает ему: ""Если я не приду на рассвете, то ты меня позови, на твой зов я приду обязательно. Если не приду утром, то кричи в полдень, если в полдень не приду, то кричи вечером. К вечеру уж точно я прибуду""."""	Зачем павлин отправился с просьбой к петуху?	Хотел попросить у него наряд для того, чтобы отправиться погостить в далекие страны красивым.	Павлин хотел отправиться погостить и хотел одолжить у петуха красивый наряд.	Желал обратиться к нему с просьбой предоставить мне наряд, чтобы я мог отправиться в гости в отдаленные страны, выглядя нарядно.	С намерением погостить, павлин захотел позаимствовать у петуха его великолепный костюм.	Имел в виду запросить у него костюм, чтобы с элегантностью посетить заморские края.	Павлин хотел попросить петуха отправиться с ним в далекие страны погостить.	Хотел дать ему свой красивый наряд и взять на время скромный.	Павлин выразил желание пригласить петуха присоединиться к нему в поездке за границу.	Планировал одолжить ему свою изысканную одежду и временно использовать более простой наряд.	Павлин захотел уговорить петуха сопровождать его в визите в отдаленные государства.
"""В Новокузнецке Кемеровской области 16-летняя школьница, убившая своего отчима, приговорена к трем годам воспитательной колонии. Об этом 1 марта сообщает агентство ""Интерфакс"". По данным газеты ""Комсомольская правда"", осуждённую зовут Маргарита Багулина. Установлено, что в ходе семейного конфликта 29 июля 2010 года девушка ударила своего отчима ножом в грудь. Мужчина скончался на месте. До суда Багулину оставили на свободе под подпиской о невыезде. После этого она переехала из дома матери и отчима в дом своего родного отца. Багулина утверждает, что отчим постоянно пил, заставлял её делать всю работу по дому и избивал её. По словам девушки, её мать во всех ссорах поддерживала отчима. После убийства женщина также встала на сторону сожителя. Она заявила, что дочь проводила время в неблагополучной компании, а отчим пытался этому противостоять. Мать утверждает, что отчим никогда не бил Маргариту и всегда относился к ней так же, как к своим родным детям. Дело Багулиной вызвало широкий резонанс. По данным местного ""10 канала"", находившаяся под подпиской о невыезде школьница выступала на телешоу, рассказывая о издевательствах, которым её якобы подвергал отчим."""	Что, по словам девушки, отчим сделал ей такого, что она его ударила ножом?	Она говорит, что отчим постоянно пил и бил её.	Она утверждает, что отчим заставлял её делать всю работу по дому и избивал её.	По её словам, её отчим непрерывно употреблял спиртное и поднимал на неё руку.	По её словам, отчим навязывал ей всю домашнюю работу и применял к ней физическую силу.	Она заявила, что её приёмный отец всегда пил и был агрессивен по отношению к ней.	Он всегда относился к ней так же, как к своим родным детям.	Она проводила время в неблагополучной компании, а отчим пытался этому противостоять.	Она говорит, что отчима интересовала только наука, а не она.	По её словам, интерес отчима к науке превышал интерес к ней самой.	В то время, когда она находилась в компании с сомнительной репутацией, её отчим пытался препятствовать этому.
"""Американская знаменитость Пэрис Хилтон не задерживалась полицией ЮАР по подозрению в хранении и употреблении наркотиков. Об этом девушка написала в пятницу в своем микроблоге. ""Просто хочу, чтобы вы все знали правду. Мне не предъявляли обвинения и меня не арестовывали, потому что я ничего не совершала. Я помогала полиции в расследовании и отвечала на их вопросы. Все были потрясающе милы и дружелюбны"", - сообщила Хилтон. По уточнённым данным, которые приводит сайт TMZ.com, кто-то из окружения Хилтон попался за курением марихуаны на стадионе Nelson Mandela Bay, где проходил четвертьфинальный матч между Бразилией и Нидерландами. Злоумышленник уже признал себя виновным, заплатил небольшой штраф и был отпущен. Представительница Хилтон подтвердила агентству Associated Press, что инцидент оказался недоразумением. ""Светскую львицу"" заподозрили в курении марихуаны, однако в действительности употреблял наркотики кто-то другой. ""Иск против Пэрис отозван, никаких обвинений предъявлено не будет"", - подчеркнула пресс-секретарь. Напомним, в 2007 году Хилтон была приговорена к 45 дням тюремного заключения за неосторожное вождение в состоянии опьянения. Отсидев половину срока, девушка призналась, что переоценила свою жизнь и намерена избавиться от дурных привычек."""	О чём Пэрис Хилтон написала в пятницу в своем микроблоге?	Пэрис Хилтон не задерживалась полицией ЮАР по подозрению в хранении и употреблении наркотиков.	Пэрис Хилтон помогала полиции в расследовании и отвечала на их вопросы.	В процессе расследования полиция получила помощь от Пэрис Хилтон, которая ответила на все поставленные вопросы.	В ходе расследования Пэрис Хилтон оказала содействие правоохранительным органам, отвечая на их запросы.	Пэрис Хилтон принимала активное участие в следственных действиях, предоставляя полиции требуемую информацию.	Хилтон попалась за курением марихуаны на стадионе Nelson Mandela Bay, где проходил четвертьфинальный матч между Бразилией и Нидерландами.	Пэрис Хилтон задерживалась полицией ЮАР по подозрению в хранении и употреблении наркотиков.	Пэрис предъявляли обвинения и арестовывали.	Обвинения были предъявлены Пэрису, после чего его арестовали.	Пэрису выдвигали обвинения и подвергали аресту.
"""Картина Кузьмы Петрова-Водкина ""Вася"" была продана за 1,8 миллиона фунтов стерлингов (2,6 миллиона долларов) на ""русских торгах"" Christie's 8 июня, говорится в пресс-релизе аукционного дома. Таким образом был установлен рекорд стоимости картин художника. ""Вася"" многократно перекрыл эстимейт: картину оценивали всего в 250-300 тысяч фунтов. Второй по стоимости картиной на лондонских торгах стал ""Натюрморт с розами и яблоками"" Константина Коровина . Работу, оценённую в 100-150 тысяч фунтов, продали за 937 тысяч (1,4 миллиона долларов). ""Скотный двор на берегу реки"" Михаила Клодта продали за 769 тысяч фунтов (1,1 миллиона долларов). ""Портрет мужчины"" Бориса Григорьева продали за 657 тысяч фунтов (около 950 тысяч долларов), ""Лежащую обнажённую"" Зинаиды Серебряковой - за 577 тысяч фунтов (832 тысячи долларов). Кроме того, были установлены рекорды на работы Михаила Зичи (457 тысяч фунтов) и Николая Калмакова (313 тысяч). На первой секции русских торгов Chrisie's лотами были 57 картин; в ходе торгов выручили 8 миллионов фунтов (11,6 миллиона долларов). На второй секции будут представлены произведения декоративно-прикладного искусства. 7 июня русские торги уже прошли на Sotheby's, они принесли 10,44 миллиона фунтов стерлингов (15,07 миллиона долларов). Больше всего заплатили за картину Александра Яковлева ""Тити и Наранге, дочери вождя Эки Бондо"" - 2,5 миллиона фунтов (3,6 миллиона долларов)."""	Какие картины заняли первые два места на лондонских торгах Christie's?	"Картина Кузьмы Петрова-Водкина ""Вася"" и ""Натюрморт с розами и яблоками"" Константина Коровина."	"Натюрморт с розами и яблоками"" Константина Коровина и Картина Кузьмы Петрова-Водкина ""Вася""."	"""Константин Коровин представил натюрморт с яблоками и розами, а Кузьма Петров-Водкин создал холст, именуемый «Вася»."""	Произведение искусства Константина Коровина, изображающее розы и яблоки, вместе с изображением по имени «Вася», созданного Кузьмой Петровым-Водкиным.	Картину, изображающую розы и яблоки, авторства Константина Коровина, а также произведение Кузьмы Петрова-Водкина под названием «Вася».	"""Скотный двор на берегу реки"" Михаила Клодта и ""Натюрморт с розами и яблоками"" Константина Коровина."	"""Скотный двор на берегу реки"" Михаила Клодта и ""Портрет мужчины"" Бориса Григорьева."	" ""Скотный двор на берегу реки"", созданная Михаилом Клодтом и ""Портрет мужчины"", нарисованный Борисом Григорьевым."	"Михаил Клодт представил ""Скотный двор на берегу реки"", в то время как Константин Коровин создал ""Натюрморт с розами и яблоками""."	"Произведение  ""Скотный двор на берегу реки"" Михаила Клодта и творение Константина Коровина, изображающее натюрморт с розами и яблоками."
"""Картина Кузьмы Петрова-Водкина ""Вася"" была продана за 1,8 миллиона фунтов стерлингов (2,6 миллиона долларов) на ""русских торгах"" Christie's 8 июня, говорится в пресс-релизе аукционного дома. Таким образом был установлен рекорд стоимости картин художника. ""Вася"" многократно перекрыл эстимейт: картину оценивали всего в 250-300 тысяч фунтов. Второй по стоимости картиной на лондонских торгах стал ""Натюрморт с розами и яблоками"" Константина Коровина . Работу, оценённую в 100-150 тысяч фунтов, продали за 937 тысяч (1,4 миллиона долларов). ""Скотный двор на берегу реки"" Михаила Клодта продали за 769 тысяч фунтов (1,1 миллиона долларов). ""Портрет мужчины"" Бориса Григорьева продали за 657 тысяч фунтов (около 950 тысяч долларов), ""Лежащую обнажённую"" Зинаиды Серебряковой - за 577 тысяч фунтов (832 тысячи долларов). Кроме того, были установлены рекорды на работы Михаила Зичи (457 тысяч фунтов) и Николая Калмакова (313 тысяч). На первой секции русских торгов Chrisie's лотами были 57 картин; в ходе торгов выручили 8 миллионов фунтов (11,6 миллиона долларов). На второй секции будут представлены произведения декоративно-прикладного искусства. 7 июня русские торги уже прошли на Sotheby's, они принесли 10,44 миллиона фунтов стерлингов (15,07 миллиона долларов). Больше всего заплатили за картину Александра Яковлева ""Тити и Наранге, дочери вождя Эки Бондо"" - 2,5 миллиона фунтов (3,6 миллиона долларов)."""	За какую картину больше всего заплатили на русских торгах на Sotheby's?	"За ""Тити и Наранге, дочери вождя Эки Бондо""."	"Больше всего заплатили за картину Александра Яковлева ""Тити и Наранге, дочери вождя Эки Бондо""."	"В отношении ""Тити и Наранге, наследницах лидера Эки Бондо""."	"Про ""Тити и Наранге, дочерях главы Эки Бондо""."	"Самую большую сумму выложили за произведение искусства Александра Яковлева под названием ""Тити и Наранге, дочери вождя Эки Бондо""."	"За ""Лежащую обнажённую"" Зинаиды Серебряковой."	"Больше всего заплатили за ""Лежащую обнажённую"" Зинаиды Серебряковой."	"В контексте картины ""Лежащая обнажённая"", созданной Зинаидой Серебряковой."	"""Лежащая обнажённая"" от Зинаиды Серебряковой достигла самой высокой стоимости на продаже."	"По поводу творения Зинаиды Серебряковой под названием ""Лежащая обнажённая""."
"""Российский боксёр-тяжеловес Александр Поветкин потерял десять мест в рейтинге Международной федерации бокса (IBF). IBF наказала россиянина за нарушение правил этой организации: неявку на официальную пресс-конференцию перед боем с Владимиром Кличко и отказ подписать контракт в установленные сроки, пишет издание ""Советский спорт"". Ранее IBF лишила Поветкина статуса обязательного претендента, в связи с чем он потерял право на бой с Кличко-младшим. Как обязательный претендент россиянин занимал первое место в рейтинге IBF, но теперь опустился на 11-ю позицию. Первое место пока остаётся вакантным. Кличко, будучи чемпионом, находится ""над рейтингом"". Бой Кличко - Поветкин должен был состояться 11 сентября во Франкфурте. 30 июня промоутерская компания братьев Кличко K2 Promotions выиграла торги на право проведения поединка. Поветкин должен был подписать контракт в течение 15 дней, но этого не произошло. 19 июля россиянин не явился на обязательную пресс-конференцию, после чего Кличко подал жалобу в IBF. Вместо Поветкина 11 сентября соперником украинского боксёра станет нигериец Сэмюэл Питер, в прошлом владевший титулом чемпиона мира по версии WBC (Всемирный боксёрский совет). В настоящее время Питер занимает второе место в рейтинге IBF. Кличко владеет титулами IBF и WBO (Всемирная боксёрская организация)."""	Боксер с каким рейтингом будет соперником Кличко на поединке?	Нигериец Сэмюэл Питер, который на данный момент находиться на втором место в рейтинге IBF, будет соперником украинского боксёра Кличко.	Нигериец Сэмюэл Питер, занимающий второе место в рейтинге IBF, будет соперником украинского боксёра Кличко.	Украинский боксер Кличко в скором времени столкнется в поединке с Сэмюэлом Питером из Нигерии, который занимает вторую строчку в рейтинге IBF.	Украинский боксер Кличко встретится в бою с Сэмюэлом Питером из Нигерии, который сейчас располагается на второй позиции в рейтинге IBF.	В ближайшем бою Кличко будет сражаться с нигерийским боксером Сэмюэлом Питером, находящимся на второй позиции в рейтинге IBF.	Нигериец Сэмюэл Питер, занимающий первое место в рейтинге IBF, будет соперником украинского боксёра Валерия Кличко.	Нигериец Сэмюэл Питер, занимающий первое место в рейтинге IBF, будет соперником украинского боксёра Кличко.	В ближайшей боксерской встрече Кличко из Украины будет драться против Сэмюэла Питера, лидирующего в списке лучших боксеров по версии IBF из Нигерии.	В ближайшем поединке украинский боксер Валерий Кличко столкнется с нигерийцем Сэмюэлом Питером, который занимает ведущую позицию в рейтинге IBF.	В предстоящем боксерском поединке Валерий Кличко из Украины будет биться с лидером рейтинга IBF, нигерийцем Сэмюэлом Питером.
"""Незнакомые сцены усадебной жизни воспринимались как родные. Хотелось к ним. Хотелось посмотреть, как аппетитно косит Левин, побывать с ним на охоте, поиграть с его умной собакой. Посидеть с женщинами, которые варят варенье, и дождаться своей доли пенок. Это был роман-дом, где хочется жить, но я еще этого не понимал. Читаешь ""Войну и мир"", и мгновениями кажется, что автор стыдится непомерности своих сил, то и дело сдерживает себя, роман развивается в могучем, спокойном ритме движения земного шара. Полный лад с собственной совестью, семьёй, народом. И это счастье передается читателю. И что нам каторжные черновики! (По Фазилю Искандеру)"""	Что хотелось автору повествования?	Побывать на охоте, поиграть с собакой.	Хотелось к ним. Посмотреть, как косит Левин. Посидеть с женщинами.	Было желание присоединиться к ним, наблюдать за процессом работы Левина и насладиться обществом женщин.	Мне тянуло к ним. Желание наблюдать за тем, как работает Левин, и провести время в компании женщин.	Опыт участия в охоте и времяпровождение, играя с собакой.	Посмотреть, как пекут женщины хлеб.	Полежать на траве под деревом.	Погулять с женщинами на сенокосе.	Наблюдение за процессом выпечки хлеба женщинами.	Прогулка с дамами во время косовицы.
Ребенок из китайского города Юнчуань приобрел популярность среди пользователей социальных сетей после того, как в интернете появились снимки, на которых он собирает урожай арбузов. Об этом пишет Daily Mail. По информации издания, двухлетний малыш, имя которого не уточняется, помогал на ферме своего отца. Фотографиями с ребенком, которые загрузили в соцсети, родитель хотел привлечь внимание покупателей к своей продукции. На снимках мальчик одет в дуаньда (традиционную китайскую рубашку). На спине у него небольшая плетеная корзина из бамбука, куда ребенок складывает собранные ягоды. Фотографии опубликованы в китайской соцсети Weibo. Как пишет Daily Mail, за четыре дня кадры собрали более 21 миллиона лайков. В мае 2016 года стало известно, что жительница австралийского города Перт, мать пятерых детей, впервые приняла участие в фотосессии вместе с младенцами. Опубликованные в Facebook снимки привлекли большое внимание пользователей соцсети. Ким и Вон Туччи (Kim and Vaughn Tucci) стали родителями четырех девочек и одного мальчика в январе 2016 года. 26-летняя Ким снялась вместе с детьми, которые были завернуты в пеленки пастельных тонов.	Во что был облачен мальчик, который собирал арбузы?	Мальчик был одет в традиционную китайскую рубашку, а на спине у него была плетеная бамбуковая корзина небольшого размера.	Мальчик был одет в дуаньда, а на спине у него была небольшая плетеная корзина из бамбука.	Ребенок носил дуаньда, имея при этом за спиной компактную плетеную из бамбука корзинку.	На мальчике красовался дуаньда, и за его спиной располагалась маленькая бамбуковая корзина, сплетенная из бамбука.	В дуаньде и с небольшой бамбуковой плетеной корзиной на спине шел мальчик.	Мальчик был одет в традиционную корейскую одежду, а на спине у него была небольшая разновижность корзины из лозы.	Мальчик был одет в традиционную корейскую рубашку, на спине у него висел рюкзак.	Ребенок носил народный корейский костюм и за спиной у него была прикреплена маленькая лозовая корзина разнообразной формы.	Малыш имел на себе наряд, характерный для корейской культуры, к тому же на его спине красовалась невеликая, выполненная из лозы корзина с различными очертаниями.	Он был одет в национальный костюм Кореи, при этом сзади его украшала компактная корзина из витой лозы, представляющая собой всевозможные формы.
Министр сельского развития Индии Гопинатх Мунде (Gopinath Munde) попал в аварию и позднее умер от остановки сердца, сообщает Reuters. Инцидент произошел, когда 64-летний политик направлялся в аэропорт Дели, чтобы вылететь в Мумбаи. Автомобиль, в котором находился министр, столкнулся с другой машиной. Вначале казалось, что в результате аварии Мунде не получил серьезных травм. Однако он попросил водителя отвезти его в больницу. По пути в медицинское учреждение чиновник потерял сознание. Как потом сообщил министр транспорта Нитин Гадкари, у Мунде из-за пережитого шока остановилось сердце. В течение часа врачи пытались реанимировать политика, но не смогли. После ДТП водитель министра был арестован. По факту аварии начато расследование. Как заявил новый глава правительства, «гибель Мунде — это большая потеря для государства». Министром сельского развития Гопинатх Мунде был назначен всего неделю назад. Его называли одним из ключевых союзников Нарендры Моди (Narendra Modi), избранного премьер-министром Индии в конце мая. Индия занимает первое место в мире по числу жертв ДТП. За последние несколько лет Гопинатх Мунде стал третьим индийским политиком, погибшим в автокатастрофе.	Какое происшествие случилось с министром сельского развития Индии по дороге в аэропорт?	Автомобиль, в котором находился министр, столкнулся с другой машиной, и министр позднее умер от остановки сердца.	Произошло ДТП, в результате которого министр умер.	ДТП стало причиной смерти министра.	Министр скончался после произошедшего ДТП.	В результате дорожно-транспортного происшествия скончался министр.	Автомобиль попал в ДТП, в результате чего министр получил множество повреждений и уехал в отпуск.	Министр попал в аварию и не получил серьезных травм.	В аварии министр остался без значительных повреждений.	В результате ДТП министр избежал серьезных увечий.	Министр, ставший участником автомобильной аварии, не получил тяжелых травм.
Генеральный директор и один из создателей Twitter Джек Дорси (Jack Dorsey) прокомментировал манеру поведения избранного президента США Дональда Трампа в сети. Об этом сообщает Usa Today. На конференции Recode's Code Commerce Дорси признался, что испытывает «смешанные чувства» из-за того, что Трамп использует социальную сеть в качестве своей «цифровой трибуны». Именно с помощью Twitter избранный президент агитировал избирателей и высказывался в адрес своего оппонента-демократа Хиллари Клинтон во время предвыборной гонки. По словам Дорси, манера поведения избранного президента в социальной сети беспрецедентна. «Я никогда такого раньше не видел. Мы опредёленно вступаем в новый мир, где всё лежит на поверхности. Мы все можем наблюдать за этим и обсуждать в реальном времени. Я не знаю, куда всё это в итоге приведёт», — отметил он. Глава Twitter добавил, что не испытывает чувства ответственности за слова Трампа, сказанные в сети. «Америка несёт ответственность за избранного президента», — резюмировал он. Ранее в конце октября газета The New York Times обнародовала список людей и мест, которых Трамп оскорбил в Twitter. Перечень содержит 281 позицию. В своем микроблоге он затронул не только представителей Республиканской и Демократической партий США, но и СМИ, компании и даже целые страны.	О чём сообщает USA Today?	Генеральный директор и один из создателей Twitter Джек Дорси (Jack Dorsey) прокомментировал манеру поведения избранного президента США Дональда Трампа в сети.	Комментарии о манере поведения Трампа.	Основатель и руководитель компании Twitter, Джек Дорси, дал комментарий по поводу того, как Дональд Трамп, будущий президент США, ведет себя в социальных сетях.	Один из создателей и глава Twitter, Джек Дорси, поделился своим мнением касательно интернет-поведения Дональда Трампа, который был избран президентом США.	Замечания о поведенческом стиле Трампа.	О списке людей и мест, которых Трамп оскорбил в Twitter.	Генеральный директор и один из создателей Twitter Джек Дорси (Jack Dorsey) не комментировал манеру поведения избранного президента США Дональда Трампа в сети.	Джек Дорси, сооснователь и генеральный директор Twitter, выбрал не высказываться о том, как избранный президент США, Дональд Трамп, ведет себя в социальных сетях.	Вопрос об интернет-поведении Дональда Трампа, новоизбранного президента США, не нашел отклика у Джека Дорси, сооснователя и руководителя компании Twitter.	О каталоге индивидов и местностей, ставших объектами оскорблений со стороны Трампа через Twitter.
